Gene_designations	OLN	Swiss-Prot-AC	Entry	SGD_X_ref
PUS2	YGL063W	P53167	PUS2_YEAST	S000003031
PUS4	YNL292W	P48567	PUS4_YEAST	S000005236
PUS5	YLR165C	Q06244	PUS5_YEAST	S000004155
PUS6	YGR169C	P53294	PUS6_YEAST	S000003401
PUS7	YOR243C	Q08647	PUS7_YEAST	S000005769
PUS9	YDL036C	Q12069	PUS9_YEAST	S000002194
PUT1	YLR142W	P09368	PUT1_YEAST	S000004132
PUT2	YHR037W	P07275	PUT2_YEAST	S000001079
PUT3	YKL015W	P25502	PUT3_YEAST	S000001498
PUT4	YOR348C	P15380	PUT4_YEAST	S000005875
PWP1	YLR196W	P21304	PWP1_YEAST	S000004186
PWP2;UTP1	YCR057C	P25635	PWP2_YEAST	S000000653
PXA1;PAL1;PAT2;SSH2	YPL147W	P41909	PXA1_YEAST	S000006068
PXA2;PAT1	YKL188C	P34230	PXA2_YEAST	S000001671
PXL1	YKR090W	P36166	PXL1_YEAST	S000001798
PXR1;GNO1	YGR280C	P53335	PXR1_YEAST	S000003512
PYC1;PYV	YGL062W	P11154	PYC1_YEAST	S000003030
PYC2	YBR218C	P32327	PYC2_YEAST	S000000422
PYK2	YOR347C	P52489	KPYK2_YEAST	S000005874
PZF1;TFC2;TFIIIA	YPR186C	P39933	TF3A_YEAST	S000006390
QCR10	YHR001W-A	P37299	QCR10_YEAST	S000003529
QCR2;COR2;UCR2	YPR191W	P07257	QCR2_YEAST	S000006395
QCR6;UCR6	YFR033C	P00127	QCR6_YEAST	S000001929
QCR7;CRO1;UCR7	YDR529C	P00128	QCR7_YEAST	S000002937
QCR8	YJL166W	P08525	QCR8_YEAST	S000003702
QCR9;UCR9	YGR183C	P22289	QCR9_YEAST	S000003415
QDR1	YIL120W	P40475	QDR1_YEAST	S000001382
QDR2	YIL121W	P40474	QDR2_YEAST	S000001383
QDR3;AQR2	YBR043C	P38227	QDR3_YEAST	S000000247
QNS1	YHR074W	P38795	NADE_YEAST	S000001116
QRI1;UAP1	YDL103C	P43123	UAP1_YEAST	S000002261
QRI5;COX24	YLR204W	P32344	COX24_YEAST	S000004194
QRI7	YDL104C	P43122	QRI7_YEAST	S000002262
RAD1	YPL022W	P06777	RAD1_YEAST	S000005943
RAD10	YML095C	P06838	RAD10_YEAST	S000004560
RAD14	YMR201C	P28519	RAD14_YEAST	S000004814
RAD16	YBR114W	P31244	RAD16_YEAST	S000000318
RAD17	YOR368W	P48581	RAD17_YEAST	S000005895
RAD18	YCR066W	P10862	RAD18_YEAST	S000000662
RAD2	YGR258C	P07276	RAD2_YEAST	S000003490
RAD23	YEL037C	P32628	RAD23_YEAST	S000000763
RAD24	YER173W	P32641	RAD24_YEAST	S000000975
RAD26;GTA1085	YJR035W	P40352	RAD26_YEAST	S000003796
RAD27;FEN1;RTH1	YKL113C	P26793	FEN1_YEAST	S000001596
RAD28	YDR030C	Q12021	RAD28_YEAST	S000002437
RAD30;DBH1	YDR419W	Q04049;POLH_YEAST	S000002827
RAD33	YML011C	Q04231	RAD33_YEAST	S000004472
RAD34	YDR314C	Q06665	RAD34_YEAST	S000002722
RAD3;REM1	YER171W	P06839	RAD3_YEAST	S000000973
RAD4	YER162C	P14736	RAD4_YEAST	S000000964
RAD50	YNL250W	P12753	RAD50_YEAST	S000005194
RAD51	YER095W	P25454	RAD51_YEAST	S000000897
RAD52	YML032C	P06778	RAD52_YEAST	S000004494
RAD53;MEC2;SAD1;SPK1	YPL153C	P22216	RAD53_YEAST	S000006074
RAD54	YGL163C	P32863	RAD54_YEAST	S000003131
RAD55	YDR076W	P38953	RAD55_YEAST	S000002483
RAD57	YDR004W	P25301	RAD57_YEAST	S000002411
RAD59	YDL059C	Q12223	RAD59_YEAST	S000002217
RAD5;REV2;SNM2	YLR032W	P32849	RAD5_YEAST	S000004022
RAD61	YDR014W	Q99359	RAD61_YEAST	S000002421
RAD6;UBC2	YGL058W	P06104	UBC2_YEAST	S000003026
RAD7	YJR052W	P06779	RAD7_YEAST	S000003813
RAD9	YDR217C	P14737	RAD9_YEAST	S000002625
RAF1	R0030W	Q06891	RAF_YEAST	S000029674
RAI1	YGL246C	P53063	DXO_YEAST	S000003215
RAM1;DPR1;SCG2;STE16	YDL090C	P22007	FNTB_YEAST	S000002248
RAM2	YKL019W	P29703	FNTA_YEAST	S000001502
RAP1;GRF1;TUF1	YNL216W	P11938	RAP1_YEAST	S000005160
RAS1	YOR101W	P01119	RAS1_YEAST	S000005627
RAS2;ASC1;CTN5;GLC5	YNL098C	P01120	RAS2_YEAST	S000005042
RAT1;HKE1;TAP1	YOR048C	Q02792	XRN2_YEAST	S000005574
RAV1;SOI3	YJR033C	P47104	RAV1_YEAST	S000003794
RAV2	YDR202C	Q03956	RAV2_YEAST	S000002610
RAX1	YOR301W	Q08760	RAX1_YEAST	S000005827
RAX2	YLR084C	Q12465	RAX2_YEAST	S000004074
RBA50	YDR527W	Q04418	RBA50_YEAST	S000002935
RBD2	YPL246C	Q12270	RBD2_YEAST	S000006167
RBG1;FUN11	YAL036C	P39729	RBG1_YEAST	S000000034
RBG2;GIR1	YGR173W	P53295	RBG2_YEAST	S000003405
RBK1	YCR036W	P25332	RBSK_YEAST	S000000632
RBL2	YOR265W	P48606	TBCA_YEAST	S000005791
RBS1	YDL189W	Q05672	RBS1_YEAST	S000002348
RCE1	YMR274C	Q03530	RCE1_YEAST	S000004887
RCF1;AIM31	YML030W	Q03713	RCF1_YEAST	S000004492
RCF2;AIM38	YNR018W	P53721	RCF2_YEAST	S000005301
RCK1	YGL158W	P38622	RCK1_YEAST	S000003126
RCK2;CLK1;CMK3	YLR248W	P38623	RCK2_YEAST	S000004238
RCL1;RTC1	YOL010W	Q08096	RCL1_YEAST	S000005370
RCM1	YNL022C	P53972	RCM1_YEAST	S000004967
RCN1;DSCR1L	YKL159C	P36054	RCN1_YEAST	S000001642
RCN2;WSP1	YOR220W	Q12044	RCN2_YEAST	S000005746
RCO1	YMR075W	Q04779	RCO1_YEAST	S000004680
RCR1	YBR005W	P38212	RCR1_YEAST	S000000209
RCR2;SSH5	YDR003W	Q03446	RCR2_YEAST	S000002410
RCY1	YJL204C	P39531	RCY1_YEAST	S000003740
RDH54;TID1	YBR073W	P38086	RDH54_YEAST	S000000277
RDI1	YDL135C	Q12434	GDIR_YEAST	S000002294
RDL1	YOR285W	Q12305	RDL1_YEAST	S000005811
RDL2;AIM42;FMP31	YOR286W	Q08742	RDL2_YEAST	S000005812
RDR1	YOR380W	Q08904	RDR1_YEAST	S000005907
RDS1	YCR106W	P25611	RDS1_YEAST	S000000703
RDS2	YPL133C	P19541	RDS2_YEAST	S000006054
RDS3	YPR094W	Q06835	RDS3_YEAST	S000006298
RDT1	YCL054W-A	A0A0B7P221	RDT1_YEAST	S000178054
REB1;GRF2	YBR049C	P21538	REB1_YEAST	S000000253
REC102	YLR329W	Q02721	TO6BL_YEAST	S000004321
REC104	YHR157W	P33323	RE104_YEAST	S000001200
REC107;MER2	YJR021C	P21651	RE107_YEAST	S000003782
REC114	YMR133W	P32841	RE114_YEAST	S000004740
REC8;SPO69	YPR007C	Q12188	REC8_YEAST	S000006211
RED1	YLR263W	P14291	RED1_YEAST	S000004253
REE1	YJL217W	P40893	REE1_YEAST	S000003753
REF2	YDR195W	P42073	REF2_YEAST	S000002603
REG1;HEX2;PZF240;SPP43;SRN1	YDR028C	Q00816	REG1_YEAST	S000002435
REG2	YBR050C	P38232	REG2_YEAST	S000000254
REH1	YLR387C	Q06709	REH1_YEAST	S000004379
REI1	YBR267W	P38344	REI1_YEAST	S000000471
REP1	R0020C	P03871	REP1_YEAST	S000029675
REP2	R0040C	P03872	REP2_YEAST	S000029676
RER1	YCL001W	P25560	RER1_YEAST	S000000507
RER2	YBR002C	P35196	RER2_YEAST	S000000206
RET1;RPC128;RPC2	YOR207C	P22276	RPC2_YEAST	S000005733
RET2	YFR051C	P43621	COPD_YEAST	S000001947
RET3	YPL010W	P53600	COPZ_YEAST	S000005931
REV1	YOR346W	P12689	REV1_YEAST	S000005873
REV3;PSO1	YPL167C	P14284	DPOZ_YEAST	S000006088
REV7	YIL139C	P38927	REV7_YEAST	S000001401
REX2;YNT20	YLR059C	P54964	ORN_YEAST	S000004049
REX3	YLR107W	Q12090	REXO3_YEAST	S000004097
REX4	YOL080C	Q08237	REXO4_YEAST	S000005440
RFA1;BUF2;RPA1	YAR007C	P22336	RFA1_YEAST	S000000065
RFA2;BUF1	YNL312W	P26754	RFA2_YEAST	S000005256
RFA3	YJL173C	P26755	RFA3_YEAST	S000003709
RFC1;CDC44	YOR217W	P38630	RFC1_YEAST	S000005743
RFC2	YJR068W	P40348	RFC2_YEAST	S000003829
RFC3	YNL290W	P38629	RFC3_YEAST	S000005234
RFC4	YOL094C	P40339	RFC4_YEAST	S000005454
RFC5	YBR087W	P38251	RFC5_YEAST	S000000291
RFM1	YOR279C	Q12192	RFM1_YEAST	S000005805
RFS1	YBR052C	P38234	RFS1_YEAST	S000000256
RFT1	YBL020W	P38206	RFT1_YEAST	S000000116
RFU1	YLR073C	Q08003	RFU1_YEAST	S000004063
RFX1;CRT1	YLR176C	P48743	RFX1_YEAST	S000004166
RGA1;DBM1;THE1	YOR127W	P39083	RGA1_YEAST	S000005653
RGA2	YDR379W	Q06407	RGA2_YEAST	S000002787
RGC1	YPR115W	Q06108	RGC1_YEAST	S000006319
RGD1	YBR260C	P38339	RGD1_YEAST	S000000464
RGD2	YFL047W	P43556	RGD2_YEAST	S000001847
RGI1	YER067W	P40043	RGI1_YEAST	S000000869
RGI2	YIL057C	P40188	RGI2_YEAST	S000001319
RGM1	YMR182C	Q00453	RGM1_YEAST	S000004794
RGP1	YDR137W	P16664	RGP1_YEAST	S000002544
RGR1;MED14	YLR071C	P19263	MED14_YEAST	S000004061
RGS2	YOR107W	Q99188	RGS2_YEAST	S000005633
RGT1	YKL038W	P32862	RGT1_YEAST	S000001521
RGT2	YDL138W	Q12300	RGT2_YEAST	S000002297
RHB1;RSG1	YCR027C	P25378	RHEB_YEAST	S000000622
RHO1	YPR165W	P06780	RHO1_YEAST	S000006369
RHO2	YNL090W	P06781	RHO2_YEAST	S000005034
RHO3	YIL118W	Q00245	RHO3_YEAST	S000001380
RHO4	YKR055W	Q00246	RHO4_YEAST	S000001763
RHO5	YNL180C	P53879	RHO5_YEAST	S000005124
RIA1;EFL1	YNL163C	P53893	RIA1_YEAST	S000005107
RIB1	YBL033C	P38066	RIB1_YEAST	S000000129
RIB2;PUS8	YOL066C	Q12362	RIB2_YEAST	S000005427
RIB3	YDR487C	Q99258	RIB3_YEAST	S000002895
RIB4	YOL143C	P50861	RIB4_YEAST	S000005503
RIB5	YBR256C	P38145	RISA_YEAST	S000000460
RIB7	YBR153W	P33312	RIB7_YEAST	S000000357
RIC1	YLR039C	P40395	RIC1_YEAST	S000004029
RIF1	YBR275C	P29539	RIF1_YEAST	S000000479
RIF2	YLR453C	Q06208	RIF2_YEAST	S000004445
RIM1	YCR028C-A	P32445	RIM1_YEAST	S000007222
RIM101;RIM1	YHL027W	P33400	PACC_YEAST	S000001019
RIM11;GSK3;MDS1	YMR139W	P38615	RIM11_YEAST	S000004747
RIM13;CPL1	YMR154C	Q03792	RIM13_YEAST	S000004763
RIM15;TAK1	YFL033C	P43565	RIM15_YEAST	S000001861
RIM2	YBR192W	P38127	RIM2_YEAST	S000000396
RIM20	YOR275C	Q12033	PALA_YEAST	S000005801
RIM21;PAL2	YNL294C	P48565	PALH_YEAST	S000005238
RIM4	YHL024W	P38741	RIM4_YEAST	S000001016
RIM8;PAL3	YGL045W	P53179	PALF_YEAST	S000003013
RIM9	YMR063W	Q04734	PALI_YEAST	S000004667
RIO1;RRP10	YOR119C	Q12196	RIO1_YEAST	S000005645
RIO2	YNL207W	P40160	RIO2_YEAST	S000005151
RIP1	YEL024W	P08067	UCRI_YEAST	S000000750
RIT1	YMR283C	P23796	RIT1_YEAST	S000004896
RIX1;IPI2	YHR197W	P38883	RIX1_YEAST	S000001240
RIX7	YLL034C	Q07844	RIX7_YEAST	S000003957
RKI1	YOR095C	Q12189	RPIA_YEAST	S000005621
RKM1	YPL208W	Q08961	RKM1_YEAST	S000006129
RKM2	YDR198C	Q03942	RKM2_YEAST	S000002606
RKM3	YBR030W	P38222	RKM3_YEAST	S000000234
RKM4;RMS1;SET7	YDR257C	Q12504	RKM4_YEAST	S000002665
RKM5	YLR137W	Q12367	RKM5_YEAST	S000004127
RKR1;LTN1	YMR247C	Q04781	LTN1_YEAST	S000004861
RLF2;CAC1	YPR018W	Q12495	RLF2_YEAST	S000006222
RLI1	YDR091C	Q03195	RLI1_YEAST	S000002498
RLM1	YPL089C	Q12224	RLM1_YEAST	S000006010
RLP24	YLR009W	Q07915	RLP24_YEAST	S000003999
RLP7;RPL7	YNL002C	P40693	RLP7_YEAST	S000004947
RMA1	YKL132C	P36001	FOLC_YEAST	S000001615
RMD1	YDL001W	Q03441	RMD1_YEAST	S000002159
RMD5;GID2	YDR255C	Q12508	RMD5_YEAST	S000002663
RMD6	YEL072W	P39975	RMD6_YEAST	S000000798
RMD8	YFR048W	P43620	RMD8_YEAST	S000001944
RMD9	YGL107C	P53140	RMD9_YEAST	S000003075
RME1	YGR044C	P32338	RME1_YEAST	S000003276
RMI1;NCE4	YPL024W	Q02685	RMI1_YEAST	S000005945
RML2	YEL050C	P32611	RML2_YEAST	S000000776
RMP1	YLR145W	Q12530	RMP1_YEAST	S000004135
RMR1	YGL250W	P53060	RMR1_YEAST	S000003219
RMT2	YDR465C	Q03305	RMT2_YEAST	S000002873
RNA1	YMR235C	P11745	RNA1_YEAST	S000004848
RNA14	YMR061W	P25298	RNA14_YEAST	S000004665
RNA15	YGL044C	P25299	RNA15_YEAST	S000003012
RNH1	YMR234W	Q04740	RNH1_YEAST	S000004847
RNH201;RNH35	YNL072W	P53942	RNH2A_YEAST	S000005016
RNH202	YDR279W	Q05635	RNH2B_YEAST	S000002687
RNH203	YLR154C	Q12338	RNH2C_YEAST	S000004144
RNH70;REX1	YGR276C	P53331	REXO1_YEAST	S000003508
RNP1	YLL046C	P32385	RNP1_YEAST	S000003969
RNQ1	YCL028W	P25367	RNQ1_YEAST	S000000533
RNR1;CRT7;RIR1;SDS12	YER070W	P21524	RIR1_YEAST	S000000872
RNR2;CRT6	YJL026W	P09938	RIR2_YEAST	S000003563
RNR3;DIN1	YIL066C	P21672	RIR3_YEAST	S000001328
RNR4;CRT3	YGR180C	P49723	RIR4_YEAST	S000003412
RNT1	YMR239C	Q02555	RNT1_YEAST	S000004852
RNY1	YPL123C	Q02933	RNY1_YEAST	S000006044
ROD1	YOR018W	Q02805	ROD1_YEAST	S000005544
ROG1	YGL144C	P53118	ROG1_YEAST	S000003112
ROG3	YFR022W	P43602	ROG3_YEAST	S000001918
ROK1	YGL171W	P45818	ROK1_YEAST	S000003139
ROM1;SKC1	YGR070W	P53046	ROM1_YEAST	S000003302
ROM2	YLR371W	P51862	ROM2_YEAST	S000004363
ROT1	YMR200W	Q03691	ROT1_YEAST	S000004813
ROT2;GLS2	YBR229C	P38138	GLU2A_YEAST	S000000433
ROX1	YPR065W	P25042	ROX1_YEAST	S000006269
ROX3;MED19;NUT3;SSN7	YBL093C	P25046	MED19_YEAST	S000000189
ROY1	YMR258C	Q04847	ROY1_YEAST	S000004871
RPA12;RRN4	YJR063W	P32529	RPA12_YEAST	S000003824
RPA135;RPA2;RRN2;SRP3	YPR010C	P22138	RPA2_YEAST	S000006214
RPA14	YDR156W	P50106	RPA14_YEAST	S000002563
RPA190;RPA1;RRN1	YOR341W	P10964	RPA1_YEAST	S000005868
RPA34	YJL148W	P47006	RPA34_YEAST	S000003684
RPA43;RRN12	YOR340C	P46669	RPA43_YEAST	S000005867
RPA49;RRN13	YNL248C	Q01080	RPA49_YEAST	S000005192
RPB10	YOR210W	P22139	RPAB5_YEAST	S000005736
RPB11	YOL005C	P38902	RPB11_YEAST	S000005365
RPB2;RPB150;RPO22	YOR151C	P08518	RPB2_YEAST	S000005677
RPB3	YIL021W	P16370	RPB3_YEAST	S000001283
RPB4	YJL140W	P20433	RPB4_YEAST	S000003676
RPB5;RPA7;RPC9	YBR154C	P20434	RPAB1_YEAST	S000000358
RPB7	YDR404C	P34087	RPB7_YEAST	S000002812
RPB8	YOR224C	P20436	RPAB3_YEAST	S000005750
RPB9	YGL070C	P27999	RPB9_YEAST	S000003038
RPC10;RPB12	YHR143W-A	P40422	RPAB4_YEAST	S000001185
RPC11	YDR045C	Q04307	RPC10_YEAST	S000002452
RPC17	YJL011C	P47076	RPC9_YEAST	S000003548
RPC19	YNL113W	P28000	RPAC2_YEAST	S000005057
RPC25	YKL144C	P35718	RPC8_YEAST	S000001627
RPC31;ACP2;RPC8	YNL151C	P17890	RPC7_YEAST	S000005095
RPC34	YNR003C	P32910	RPC6_YEAST	S000005286
RPC37	YKR025W	P36121	RPC5_YEAST	S000001733
RPC40;RPC5	YPR110C	P07703	RPAC1_YEAST	S000006314
RPC53;RPC4	YDL150W	P25441	RPC4_YEAST	S000002309
RPC82;RPC3	YPR190C	P32349	RPC3_YEAST	S000006394
RPD3;MOF6;REC3;SDI2;SDS6	YNL330C	P32561	RPD3_YEAST	S000005274
RPE1;EPI1;POS18	YJL121C	P46969	RPE_YEAST	S000003657
RPF1	YHR088W	P38805	RPF1_YEAST	S000001130
RPF2	YKR081C	P36160	RPF2_YEAST	S000001789
RPG1;TIF32	YBR079C	P38249	EIF3A_YEAST	S000000283
RPH1	YER169W	P39956	RPH1_YEAST	S000000971
RPI1	YIL119C	P23250	RPI1_YEAST	S000001381
RPL10;GRC5;QSR1	YLR075W	P41805	RL10_YEAST	S000004065
RPL11A;RP39A;RPL16A	YPR102C	P0C0W9	RL11A_YEAST	S000006306
RPL11B;RP39B;RPL16B	YGR085C	Q3E757	RL11B_YEAST	S000003317
RPL12A;RPL15B	YEL054C	P0CX53	RL12A_YEAST	S000000780
RPL12B;RPL15A	YDR418W	P0CX54	RL12B_YEAST	S000002826
RPL13A	YDL082W	Q12690	RL13A_YEAST	S000002240
RPL13B;RPL13	YMR142C	P40212	RL13B_YEAST	S000004750
RPL14A	YKL006W	P36105	RL14A_YEAST	S000001489
RPL14B	YHL001W	P38754	RL14B_YEAST	S000000993
RPL15A;RPL10A;RPL13A;YL10A	YLR029C	P05748	RL15A_YEAST	S000004019
RPL15B;RPL10B;RPL13B;YL10B	YMR121C	P54780	RL15B_YEAST	S000004728
RPL16A;RPL13;RPL21A	YIL133C	P26784	RL16A_YEAST	S000001395
RPL16B;RP23;RPL21B	YNL069C	P26785	RL16B_YEAST	S000005013
RPL17A;RPL17;RPL20A	YKL180W	P05740	RL17A_YEAST	S000001663
RPL17B;RPL20B	YJL177W	P46990	RL17B_YEAST	S000003713
RPL18A;RP28A	YOL120C	P0CX49	RL18A_YEAST	S000005480
RPL18B;RP28B	YNL301C	P0CX50	RL18B_YEAST	S000005245
RPL19A;RPL23A;YL14A	YBR084C-A	P0CX82	RL19A_YEAST	S000002156
RPL19B;RPL23B;YL14B	YBL027W	P0CX83	RL19B_YEAST	S000000123
RPL1A;SSM1;SSM1A	YPL220W	P0CX43	RL1A_YEAST	S000006141
RPL1B;SSM1B;SSM2	YGL135W	P0CX44	RL1B_YEAST	S000003103
RPL20A;RPL18A;RPL18A2	YMR242C	P0CX23	RL20A_YEAST	S000004855
RPL20B;RPL18A1;RPL18B	YOR312C	P0CX24	RL20B_YEAST	S000005839
RPL21A;URP1	YBR191W	Q02753	RL21A_YEAST	S000000395
RPL21B	YPL079W	Q12672	RL21B_YEAST	S000006000
RPL22A	YLR061W	P05749	RL22A_YEAST	S000004051
RPL22B	YFL034C-A	P56628	RL22B_YEAST	S000006436
RPL23A;RPL17A;RPL17AA	YBL087C	P0CX41	RL23A_YEAST	S000000183
RPL23B;RPL17AB;RPL17B	YER117W	P0CX42	RL23B_YEAST	S000000919
RPL24A;RP29;RPL30A	YGL031C	P04449	RL24A_YEAST	S000002999
RPL24B;RPL30B	YGR148C	P24000	RL24B_YEAST	S000003380
RPL25	YOL127W	P04456	RL25_YEAST	S000005487
RPL26A;RPL26;RPL33A	YLR344W	P05743	RL26A_YEAST	S000004336
RPL26B;RPL33B	YGR034W	P53221	RL26B_YEAST	S000003266
RPL27A;RPL27	YHR010W	P0C2H6	RL27A_YEAST	S000001052
RPL27B;RPL27	YDR471W	P0C2H7	RL27B_YEAST	S000002879
RPL28;CYH2	YGL103W	P02406	RL28_YEAST	S000003071
RPL29;YL43	YFR032C-A	P05747	RL29_YEAST	S000006437
RPL2A;RPL5B	YFR031C-A	P0CX45	RL2A_YEAST	S000002104
RPL2B;RPL5A	YIL018W	P0CX46	RL2B_YEAST	S000001280
RPL30;RPL32	YGL030W	P14120	RL30_YEAST	S000002998
RPL31A;RPL34;RPL34A	YDL075W	P0C2H8	RL31A_YEAST	S000002233
RPL31B;RPL34;RPL34B	YLR406C	P0C2H9	RL31B_YEAST	S000004398
RPL32	YBL092W	P38061	RL32_YEAST	S000000188
RPL33A;RPL37A	YPL143W	P05744	RL33A_YEAST	S000006064
RPL33B;RPL37B	YOR234C	P41056	RL33B_YEAST	S000005760
RPL34A	YER056C-A	P87262	RL34A_YEAST	S000002135
RPL34B	YIL052C	P40525	RL34B_YEAST	S000001314
RPL35A;SOS1	YDL191W	P0CX84	RL35A_YEAST	S000002350
RPL35B;SOS2	YDL136W	P0CX85	RL35B_YEAST	S000002295
RPL36A;RPL39A	YMR194W	P05745	RL36A_YEAST	S000004807
RPL36B;RPL39B	YPL249C-A	O14455	RL36B_YEAST	S000006438
RPL37A;RPL35A	YLR185W	P49166	RL37A_YEAST	S000004175
RPL37B;RPL35B	YDR500C	P51402	RL37B_YEAST	S000002908
RPL38	YLR325C	P49167	RL38_YEAST	S000004317
RPL39;RPL46;SPB2	YJL189W	P04650	RL39_YEAST	S000003725
RPL3;MAK8;TCM1	YOR063W	P14126	RL3_YEAST	S000005589
RPL40A;UBI1	YIL148W	P0CH08	RL40A_YEAST	S000001410
RPL40B;UBI2	YKR094C	P0CH09	RL40B_YEAST	S000001802
RPL41A;RPL47A;YL41A	YDL184C	P0CX86	RL41A_YEAST	S000002343
RPL41B;RPL47B;YL41B	YDL133C-A	P0CX87	RL41B_YEAST	S000002293
RPL42A;RPL41A;SCL41A	YNL162W	P0CX27	RL44A_YEAST	S000005106
RPL42B;MAK18;RPL41B;SCL41B	YHR141C	P0CX28	RL44B_YEAST	S000001183
RPL43A	YPR043W	P0CX25	RL43A_YEAST	S000006247
RPL43B	YJR094W-A	P0CX26	RL43B_YEAST	S000003855
RPL4A;RPL2;RPL2A	YBR031W	P10664	RL4A_YEAST	S000000235
RPL4B;RPL2B	YDR012W	P49626	RL4B_YEAST	S000002419
RPL5;RPL1;RPL1A	YPL131W	P26321	RL5_YEAST	S000006052
RPL6A;RPL17A;YL16A	YML073C	Q02326	RL6A_YEAST	S000004538
RPL6B;RPL16B;RPL17B;YL16B	YLR448W	P05739	RL6B_YEAST	S000004440
RPL7A;RPL6A;RPL8A;YL8A	YGL076C	P05737	RL7A_YEAST	S000003044
RPL7B;RPL6B;YL8B	YPL198W	Q12213	RL7B_YEAST	S000006119
RPL8A;MAK7;RPL4A	YHL033C	P17076	RL8A_YEAST	S000001025
RPL8B;KRB1;RPL4B	YLL045C	P29453	RL8B_YEAST	S000003968
RPL9A;RPL8A;RPL9	YGL147C	P05738	RL9A_YEAST	S000003115
RPL9B;RPL8B	YNL067W	P51401	RL9B_YEAST	S000005011
RPM2	YML091C	Q02773	RPM2_YEAST	S000004556
RPN10;MCB1;SUN1	YHR200W	P38886	RPN10_YEAST	S000001243
RPN11;MPR1	YFR004W	P43588	RPN11_YEAST	S000001900
RPN12;NIN1	YFR052W	P32496	RPN12_YEAST	S000001948
RPN13;DAQ1	YLR421C	O13563	RPN13_YEAST	S000004413
RPN14	YGL004C	P53196	RPN14_YEAST	S000002972
RPN1;HRD2;NAS1;RPD1	YHR027C	P38764	RPN1_YEAST	S000001069
RPN2;SEN3	YIL075C	P32565	RPN2_YEAST	S000001337
RPN3;SUN2	YER021W	P40016	RPN3_YEAST	S000000823
RPN4;SON1;UFD5	YDL020C	Q03465	RPN4_YEAST	S000002178
RPN5;NAS5	YDL147W	Q12250	RPN5_YEAST	S000002306
RPN6;NAS4	YDL097C	Q12377	RPN6_YEAST	S000002255
RPN7	YPR108W	Q06103	RPN7_YEAST	S000006312
RPN8	YOR261C	Q08723	RPN8_YEAST	S000005787
RPN9;NAS7	YDR427W	Q04062	RPN9_YEAST	S000002835
RPO21;RPB1;RPB220;SUA8	YDL140C	P04050	RPB1_YEAST	S000002299
RPO26;RPB6	YPR187W	P20435	RPAB2_YEAST	S000006391
RPO31;RPC1;RPC160	YOR116C	P04051	RPC1_YEAST	S000005642
RPO41	YFL036W	P13433	RPOM_YEAST	S000001858
RPP0;L10E;RPA0;RPL10E;RPLA0	YLR340W	P05317	RLA0_YEAST	S000004332
RPP1	YHR062C	P38786	RPP1_YEAST	S000001104
RPP1A;L12EIIA;RPA1;RPLA1	YDL081C	P05318	RLA1_YEAST	S000002239
RPP1B;L12EIIB;RPL44P;RPLA3	YDL130W	P10622	RLA3_YEAST	S000002288
RPP2A;L12EIB;RPA2;RPL44;RPLA2	YOL039W	P05319	RLA2_YEAST	S000005399
RPP2B;L12EIA;RPL45;RPLA4	YDR382W	P02400	RLA4_YEAST	S000002790
RPR2	YIR015W	P40571	RPR2_YEAST	S000001454
RPS0A;NAB1;NAB1A;YST1	YGR214W	P32905	RSSA1_YEAST	S000003446
RPS0B;NAB1B;NAB4;YST2	YLR048W	P46654	RSSA2_YEAST	S000004038
RPS10A	YOR293W	Q08745	RS10A_YEAST	S000005819
RPS10B	YMR230W	P46784	RS10B_YEAST	S000004843
RPS11A;RPS18A	YDR025W	P0CX47	RS11A_YEAST	S000002432
RPS11B;RPS18B	YBR048W	P0CX48	RS11B_YEAST	S000000252
RPS12	YOR369C	P48589	RS12_YEAST	S000005896
RPS13;RPS13C	YDR064W	P05756	RS13_YEAST	S000002471
RPS14A;CRY1;RPL59	YCR031C	P06367	RS14A_YEAST	S000000627
RPS14B;CRY2	YJL191W	P39516	RS14B_YEAST	S000003727
RPS15;RPS21	YOL040C	Q01855	RS15_YEAST	S000005400
RPS16A;RP61R	YMR143W	P0CX51	RS16A_YEAST	S000004751
RPS16B	YDL083C	P0CX52	RS16B_YEAST	S000002241
RPS17A;RP51A	YML024W	P02407	RS17A_YEAST	S000004486
RPS17B;RP51B	YDR447C	P14127	RS17B_YEAST	S000002855
RPS18A	YDR450W	P0CX55	RS18A_YEAST	S000002858
RPS18B	YML026C	P0CX56	RS18B_YEAST	S000004488
RPS19A;RP55A;RPS16AA	YOL121C	P07280	RS19A_YEAST	S000005481
RPS19B;RP55B;RPS16AB	YNL302C	P07281	RS19B_YEAST	S000005246
RPS1A;PLC1;RPS10A	YLR441C	P33442	RS3A1_YEAST	S000004433
RPS1B;PLC2;RPS10B	YML063W	P23248	RS3A2_YEAST	S000004528
RPS20;URP2	YHL015W	P38701	RS20_YEAST	S000001007
RPS21A;RPS25;RPS25A;RPS26A	YKR057W	P0C0V8	RS21A_YEAST	S000001765
RPS21B;RPS25B;RPS26B	YJL136C	Q3E754	RS21B_YEAST	S000003672
RPS22A;RPS24;RPS24A	YJL190C	P0C0W1	RS22A_YEAST	S000003726
RPS22B;RPS24B	YLR367W	Q3E7Y3	RS22B_YEAST	S000004359
RPS23A;RPS28A	YGR118W	P0CX29	RS23A_YEAST	S000003350
RPS23B;RPS28B	YPR132W	P0CX30	RS23B_YEAST	S000006336
